LRU/SRU P/N Product Line Desc,FAILURE OPEN DATE,Failed Item Description,Failed Item,Fail Code Desc,Fail Cat Desc,Rep Act Code Des
P ,30/01/2023,COLOR DAY HUD,MB1268A-03,Visual Inspection,Assembly,Replaced/add Component
C ,31/01/2023,AMC,MB0807D-22,SRU Issue,low temp,Replaced SRU
C ,31/01/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,01/02/2023,AMC,MB0807D-22,Can Not Duplicate,Can Not Duplicate,No repair action was taken
P ,01/02/2023,WCNDM TOP ASSY,MB1402A-00,Damage,Mechanical,Replaced/add Component
C ,01/02/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
P ,01/02/2023,"PWA, COBE",078898B-00,SRU Issue,electrical,Replaced/add Component
P ,01/02/2023,"PWA, COBE",078898B-01,SRU Issue,electrical,Replaced SRU
M ,01/02/2023,SMART SIM ASSY,950-31-00350-02,For testing,low temp,Retest
P ,03/02/2023,LCD ASSY,112836A-00,SRU Issue,electrical,Replaced SRU
P ,03/02/2023,LCD ASSY,112836A-00,SRU Issue,electrical,Replaced SRU
P ,03/02/2023,WCDDM TOP ASSY,MB1403B-01,Tester Issue,Tester,Retest
P ,03/02/2023,WCDDM TOP ASSY,MB1403B-01,Tester Issue,Tester,Retest
P ,03/02/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE KABAM,Workmanship,Retest
P ,03/02/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE KABAM,Workmanship,Retest
P ,03/02/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE KABAM,Workmanship,Retest
P ,05/02/2023,"NIGHT HUD, TOP ASSY",MB240A-03,Visual Inspection,Customer requirement,Replaced/add Component
P ,06/02/2023,OLED OPTICS ASSY,082712J-00,Optical Issue,Optical,Replaced SRU
P ,06/02/2023,FLAT DAY HUD TOP ASSY,MB386A-31,Component Issue,Damage,Replaced/add Component
P ,06/02/2023,"NIGHT HUD, TOP ASSY",MB240A-03,Mechanical Issue,Mechanical,Reassembly
M ,06/02/2023,SMART SIM ASSY,950-31-00350-02,Electrical Issue,low temp,Reprograming
M ,06/02/2023,SMART SIM ASSY,950-31-00350-02,Electrical Issue,electrical,Component Issue
C ,07/02/2023,AMC,MB0807D-22,SRU Issue,electrical,Replaced SRU
P ,07/02/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE ELBIT,Workmanship,Retest
M ,08/02/2023,DISCRETE IO 12V SIM ASSY,97-05-31005-01,Component Issue,electrical,Replaced/add Component
C ,08/02/2023,DTD UNIT,MB0946C-07,SRU Issue,electrical,Replaced SRU
C ,08/02/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,08/02/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,09/02/2023,COMPUTER UNIT- GEN-1,GB1277N-00,For testing,Software,Retest
P ,09/02/2023,LCD ASSY,112836A-00,SRU Issue,electrical,Replaced SRU
P ,09/02/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE KABAM,Workmanship,Retest
P ,09/02/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE KABAM,Workmanship,Retest
P ,09/02/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE KABAM,Workmanship,Retest
P ,12/02/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
M ,12/02/2023,RMSC BP BOARD ASSY,93-30-00012-01,Component Issue,electrical,Replaced/add Component
M ,12/02/2023,RMSC BP BOARD ASSY,93-30-00012-01,Component Issue,electrical,Broken component
M ,12/02/2023,PDCR,602-31-00140-02,Electrical Issue,electrical,Component Issue
M ,12/02/2023,RMSC BP BOARD ASSY,93-30-00012-01,Component Issue,electrical,Replaced/add Component
C ,13/02/2023,AMC,MB0807D-22,Component Issue,Hardware,Replaced/add Component
M ,13/02/2023,CPU BOARD ASSY (LF),97-30-00302-01,Component Issue,electrical,Broken component
C ,13/02/2023,AMC,MB0807D-22,Infrastructure,Infrastructure,Repair Infrastructure
M ,13/02/2023,CPU BOARD ASSY (LF),97-30-00302-01,Component Issue,electrical,Broken component
P ,13/02/2023,WCDDM TOP ASSY,MB1403A-00,Tester Issue,Tester,Retest
P ,14/02/2023,COLOR DAY HUD,MB1268A-03,Tester Issue,Tester,Cable Issue
P ,14/02/2023,WCNDM TOP ASSY,MB1402A-00,Mechanical Issue,Mechanical,Reassembly
C ,14/02/2023,AMC,MB0807D-22,Infrastructure,Infrastructure,Repair Infrastructure
C ,14/02/2023,AMC,MB0807D-22,Tester Issue,Tester,Fixed Test Equipment
M ,14/02/2023,PDCR,602-31-00140-02,Operator Mistake,low temp,Retest
C ,15/02/2023,AMC,MB0807D-22,Tester Issue,Tester,Rework
C ,15/02/2023,AMC,MB0807D-22,Tester Issue,Tester,Fixed Test Equipment
C ,15/02/2023,DTD UNIT,MB0946C-07,SRU Issue,electrical,Replaced SRU
P ,15/02/2023,"CABLE ASSY, CHMD NIGHT",080112D-00,SRU Issue,electrical,Replaced SRU
P ,15/02/2023,"CABLE ASSY, CHMD NIGHT",080112D-00,SRU Issue,electrical,Replaced SRU
C ,15/02/2023,AMC,MB0807D-22,Infrastructure,Infrastructure,Repair Infrastructure
C ,15/02/2023,AMC,MB0807D-22,Tester Issue,Tester,Changed Test Equipment
C ,15/02/2023,AMC,MB0807D-22,Can Not Duplicate,Can Not Duplicate,No repair action was taken
C ,15/02/2023,AMC,MB0807D-22,SRU Issue,,Replaced SRU
C ,15/02/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,15/02/2023,AMC,MB0807D-22,Tester Issue,Tester,Changed Test Equipment
M ,15/02/2023,PWA MCB,81022C-00,Component Issue,electrical,Replaced/add Component
C ,15/02/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
C ,15/02/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
C ,15/02/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
C ,15/02/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
C ,15/02/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
M ,15/02/2023,PDCR,602-31-00140-02,Electrical Issue,electrical,Rework
M ,15/02/2023,PDCR,602-31-00140-02,Electrical Issue,electrical,Rework
M ,15/02/2023,SMART SIM ASSY,950-31-00350-02,For testing,low temp,Retest
M ,15/02/2023,PDCR,602-31-00140-02,Electrical Issue,electrical,Rework
P ,16/02/2023,WCDDM TOP ASSY,MB1403B-01,Electrical Issue,electrical,Reprograming
C ,16/02/2023,AMC,MB0807D-22,Tester Issue,Tester,Changed Test Equipment
C ,16/02/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,16/02/2023,AMC,MB0807D-22,Tester Issue,Tester,Cable Issue
M ,16/02/2023,IC EPLD 1024MAC 3.3V 7.5NS FPB,00066681N,Component Issue,Hardware,Replaced/add Component
P ,17/02/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
C ,17/02/2023,AMC,MB0807D-22,SRU Issue,electrical,Replaced SRU
P ,18/02/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
C ,19/02/2023,AMC,MB0807D-22,Tester Issue,Tester,Changed Test Equipment
P ,19/02/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
C ,19/02/2023,AMC,MB0807D-22,SRU Issue,electrical,Replaced SRU
P ,19/02/2023,"CABLE ASSY, CHMD NIGHT",080112D-00,SRU Issue,electrical,Replaced SRU
P ,19/02/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
P ,19/02/2023,"PWA, INTERFACE, MHU (LF)",067443A-02,SRU Issue,electrical,Replaced SRU
M ,20/02/2023,POWER SUPPLY,901-31-00500-03,Electrical Issue,Hardware,Replaced/add Component
P ,20/02/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
C ,20/02/2023,DTD UNIT,MB0946C-07,Defect LRU,RT,Repair
P ,21/02/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
M ,21/02/2023,TCU,85-31-00050-01,SRU Issue,electrical,Replaced/add Component
C ,22/02/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,22/02/2023,AMC,MB0807D-22,Tester Issue,Tester,Rework
C ,22/02/2023,AMC,MB0807D-22,Tester Issue,Tester,No repair action was taken
C ,22/02/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
P ,22/02/2023,PROJECTION ASSY,112835A-00,Documentation Issue,Document,Re Calibration
P ,23/02/2023,PROJECTION ASSY,112835A-00,Documentation Issue,Document,Documentation correction
P ,23/02/2023,OLED OPTICS ASSY,082712J-00,Documentation Issue,Document,Re Calibration
C ,23/02/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
M ,23/02/2023,RMSC,93-30-00200-05,SRU Issue,electrical,Replaced/add Component
M ,23/02/2023,RMSC,93-30-00200-05,SRU Issue,electrical,Replaced/add Component
P ,25/02/2023,WCDDM TOP ASSY,MB1403B-01,OPERATOR MISTAKE KABAM,Workmanship,Retest
P ,25/02/2023,WCDDM TOP ASSY,MB1403B-01,OPERATOR MISTAKE KABAM,Workmanship,Retest
P ,25/02/2023,"PWA, INTERFACE, MHU (LF)",067443A-02,SRU Issue,electrical,Replaced SRU
P ,26/02/2023,WCNDM TOP ASSY,MB1402A-00,Documentation Issue,Document,Rework
P ,26/02/2023,"PWA, DRIVER",105584B-00,Damage,Mechanical,Replaced/add Component
C ,26/02/2023,AMC,MB0807D-22,Tester Issue,Tester,Changed Test Equipment
C ,26/02/2023,AMC,MB0807D-22,Tester Issue,Tester,Rework
M ,26/02/2023,PDCR,602-31-00140-02,Tester Issue,low temp,Retest
P ,27/02/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
P ,27/02/2023,PROJECTION ASSY,112835A-00,SRU Issue,electrical,Re Calibration
C ,27/02/2023,COMPUTER UNIT-TOP ASSY,MB1277J-02,Defect LRU,electrical,Repair
C ,27/02/2023,COMPUTER UNIT-TOP ASSY,MB1277J-02,Defect LRU,electrical,Repair
M ,27/02/2023,PDCR,602-31-00140-02,Electrical Issue,electrical,Replaced/add Component
M ,27/02/2023,PDCR,602-31-00140-02,Electrical Issue,electrical,Replaced/add Component
P ,27/02/2023,WCDDM TOP ASSY,MB1403A-00,Visual Inspection,Optical,Replaced/add Component
P ,28/02/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
C ,01/03/2023,AMC,MB0807D-22,SRU Issue,RT,Replaced SRU
C ,01/03/2023,AMC,MB0807D-22,Infrastructure,Tester,Retest
M ,01/03/2023,PDCR,602-31-00140-02,Electrical Issue,electrical,Replaced/add Component
M ,01/03/2023,PDCR,602-31-00140-02,Electrical Issue,electrical,Rework
C ,01/03/2023,AMC,MB0807D-22,Tester Issue,Tester,Changed Test Equipment
C ,01/03/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
M ,01/03/2023,ANTENNA SWITCH,45-35-00050-01,SRU Issue,electrical,No repair action was taken
P ,02/03/2023,OLED OPTICS ASSY,082712H-00,Visual Inspection,Optical,Replaced SRU
P ,02/03/2023,"PWA, COBE",078898B-01,SRU Issue,electrical,Replaced SRU
P ,05/03/2023,OLED OPTICS ASSY,082712J-00,OPERATOR MISTAKE ELBIT,Workmanship,Retest
P ,05/03/2023,OLED OPTICS ASSY,082712J-00,Operator Mistake,Tester,Rework
P ,05/03/2023,"PWA, FLEX ADAPT, COLOR",069187B-00,SRU Issue,electrical,Replaced SRU
M ,06/03/2023,PWA CPU,14920B-03,Electrical Issue,electrical,Re Calibration
P ,07/03/2023,"PWA, INTERFACE, MHU (LF)",067443A-02,SRU Issue,electrical,Replaced SRU
M ,07/03/2023,LG SIM BOARD ASSY,950-31-00414-04,Electrical Issue,Software,Replaced/add Component
M ,07/03/2023,FLIGHT CONTROL UNIT (FCU) ASSY,MA812D-01,Electrical Issue,electrical,Re Calibration
M ,07/03/2023,ANTENNA SWITCH,45-35-00050-01,SRU Issue,electrical,Replaced/add Component
M ,08/03/2023,LG SIM ASSY,950-31-00400-04,Electrical Issue,Software,Replaced/add Component
C ,08/03/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
C ,08/03/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
M ,08/03/2023,PWA EIFC,74831B-05,Tester Issue,electrical,Retest
P ,10/03/2023,LCD ASSY,073720A-02,Optical Issue,Optical,Replaced SRU
M ,12/03/2023,PDCR,602-31-00140-02,Operator Mistake,low temp,Retest
C ,13/03/2023,AMC,MB0807D-22,Infrastructure,Infrastructure,Retest
P ,14/03/2023,WCDDM TOP ASSY,MB1403A-00,SRU Issue,electrical,No repair action was taken
P ,14/03/2023,"PWA, INTERFACE, MHU (LF)",067443A-02,SRU Issue,electrical,Replaced SRU
C ,14/03/2023,AMC,MB0807D-22,Experiment,Engineering,D/A
C ,14/03/2023,AMC,MB0807D-22,Experiment,Engineering,D/A
P ,14/03/2023,WCDDM TOP ASSY,MB1403A-00,SRU Issue,electrical,Replaced SRU
C ,15/03/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
C ,15/03/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
C ,15/03/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,electrical,Replaced SRU
P ,15/03/2023,WCNDM TOP ASSY,MB1402A-00,SRU Issue,Engineering,No repair action was taken
M ,16/03/2023,LG SIM ASSY,950-31-00400-04,Electrical Issue,HT,Replaced/add Component
M ,16/03/2023,LG SIM ASSY,950-31-00400-04,Electrical Issue,HT,Replaced/add Component
M ,16/03/2023,MICRO I/O GILAT,504-30-00125-00,Documentation Issue,Document,Rework
P ,16/03/2023,"CABLE CONNECTOR, ASSY",071309A-01,Inspection,Mechanical,Replaced SRU
M ,16/03/2023,EFI INTERFACE UNIT,80-63-00050-04,Tester Issue,HT,Retest
P ,16/03/2023,WCDDM TOP ASSY,MB1403A-00,SRU Issue,electrical,Replaced SRU
C ,17/03/2023,AMC,MB0807D-22,SRU Issue,,Replaced SRU
P ,18/03/2023,PROJECTION ASSY,112835A-00,SRU Issue,electrical,Replaced SRU
C ,19/03/2023,AMC,MB0807D-22,Assembly Issue,Assembly,Reassembly
M ,19/03/2023,SMART SIM ASSY,950-31-00350-02,Electrical Issue,Hardware,Replaced/add Component
C ,20/03/2023,AMC,MB0807D-22,Tester Issue,Tester,Fixed Test Equipment
C ,20/03/2023,AMC,MB0807D-22,Tester Issue,Tester,Fixed Test Equipment
C ,20/03/2023,AMC,MB0807D-22,Tester Issue,Tester,Fixed Test Equipment
C ,20/03/2023,AMC,MB0807DA-22,SRU Issue,Hardware,Replaced SRU
P ,20/03/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
P ,21/03/2023,WCDDM TOP ASSY,MB1403A-00,Customer requirement,Document,Preform customer requirment
M ,21/03/2023,SMART SIM ASSY,950-31-00350-02,Visual Inspection,Workmanship,Replaced/add Component
C ,22/03/2023,AMC,MB0807D-22,Infrastructure,Infrastructure,Retest
M ,22/03/2023,VCM PANO,904-80-00250-01,SRU Issue,electrical,Replaced/add Component
P ,22/03/2023,OLED OPTICS ASSY,082712J-00,OPERATOR MISTAKE ELBIT,Workmanship,Re Calibration
P ,23/03/2023,WCDDM TOP ASSY,MB1403A-00,Electrical Issue,PERFORM ECO/FCO,Reprograming
P ,23/03/2023,WCDDM TOP ASSY,MB1403A-00,ECO,electrical,Preform ECO
P ,24/03/2023,"PWA, COBE",078898B-01,SRU Issue,electrical,Replaced SRU
P ,26/03/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE KABAM,Workmanship,Retest
P ,26/03/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE KABAM,Workmanship,Retest
P ,26/03/2023,WCNDM TOP ASSY,MB1402A-00,OPERATOR MISTAKE KABAM,Workmanship,Retest
C ,26/03/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
M ,26/03/2023,PLANETS DRPB BOARD ASSY,95-30-00080-04,ECO,Workmanship,Preform ECO
C ,26/03/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,26/03/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
M ,27/03/2023,PDCR,602-31-00140-02,Documentation Issue,Workmanship,Documentation correction
M ,27/03/2023,PDCR,602-31-00140-02,Documentation Issue,Workmanship,Documentation correction
M ,27/03/2023,PLANETS DRPB BOARD ASSY,95-30-00080-04,ECO,Workmanship,Preform ECO
M ,27/03/2023,PLANETS DRPB BOARD ASSY,95-30-00080-04,ECO,Workmanship,Preform ECO
M ,27/03/2023,PLANETS DRPB BOARD ASSY,95-30-00080-04,ECO,Workmanship,Preform ECO
M ,27/03/2023,PLANETS DRPB BOARD ASSY,95-30-00080-04,ECO,Workmanship,Preform ECO
P ,27/03/2023,OLED OPTICS ASSY,082712J-00,SRU Issue,electrical,Replaced SRU
M ,27/03/2023,RMSC,93-30-00200-05,SRU Issue,electrical,Replaced/add Component
M ,27/03/2023,PLANETS DRPB BOARD ASSY,95-30-00080-04,ECO,Workmanship,Preform ECO
M ,27/03/2023,PLANETS DRPB BOARD ASSY,95-30-00080-04,ECO,Workmanship,Preform ECO
M ,27/03/2023,PLANETS DRPB BOARD ASSY,95-30-00080-04,ECO,Workmanship,Preform ECO
M ,27/03/2023,PLANETS DRPB BOARD ASSY,95-30-00080-04,ECO,Workmanship,Preform ECO
M ,27/03/2023,PLANETS DRPB BOARD ASSY,95-30-00080-04,ECO,Workmanship,Preform ECO
M ,27/03/2023,ENCRYPTION UNIT,90-30-00101-01,Electrical Issue,electrical,Replaced SRU
P ,28/03/2023,CDDM TOP ASSY,MB1268D-03,Documentation Issue,Document,Rework
P ,28/03/2023,COMMON DEP TOP ASSY,MB1658B-00,Visual Inspection,Optical,Cleaning
C ,28/03/2023,DTD UNIT,MB0946C-07,SRU Issue,electrical,Replaced SRU
C ,28/03/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,Tester Issue,low temp,Retest
C ,28/03/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,Tester Issue,low temp,Retest
C ,28/03/2023,AMC,MB0807D-22,Assembly Issue,Hardware,Reassembly
M ,28/03/2023,POWER QUICC II CORE PROC. ASSY,97-05-31016-01,Electrical Issue,electrical,Reprograming
M ,28/03/2023,POWER QUICC II CORE PROC. ASSY,97-05-31016-01,Electrical Issue,electrical,Reprograming
M ,28/03/2023,POWER QUICC II CORE PROC. ASSY,97-05-31016-01,Electrical Issue,electrical,Reprograming
M ,28/03/2023,POWER QUICC II CORE PROC. ASSY,97-05-31016-01,Electrical Issue,electrical,Reprograming
M ,28/03/2023,POWER QUICC II CORE PROC. ASSY,97-05-31016-01,Electrical Issue,electrical,Reprograming
M ,28/03/2023,POWER QUICC II CORE PROC. ASSY,97-05-31016-01,Electrical Issue,electrical,Reprograming
M ,28/03/2023,POWER QUICC II CORE PROC. ASSY,97-05-31016-01,Electrical Issue,electrical,Reprograming
C ,29/03/2023,"PWA, HDP BASE",106513A-01,Component Issue,electrical,Replaced/add Component
C ,29/03/2023,AMC,MB0807D-22,SRU Issue,Hardware,Replaced SRU
C ,29/03/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
C ,29/03/2023,COMPUTER UNIT- GEN-1,GB1277N-00,Tester Issue,HT,Retest
M ,29/03/2023,RMSC,93-30-00200-05,SRU Issue,electrical,Replaced/add Component
C ,29/03/2023,PWA SQUID,109090A-01,Component Issue,electrical,Replaced/add Component
C ,29/03/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,low temp,Replaced SRU
C ,29/03/2023,COMPUTER UNIT-TOP ASSY,MB1277J-01,SRU Issue,low temp,Replaced SRU
M ,30/03/2023,DUAL MICRO I/O,90-30-00110-03,Mechanical Issue,Mechanical,Rework
C ,30/03/2023,AMC,MB0807D-22,Tester Issue,Tester,Retest
